Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),,Vehicle Class
4.4,8,11.5,269,,SUBCOMPACT
2,4,9.3,217,,SUV - SMALL
2,4,9.5,222,,SUV - SMALL
2,4,9.6,223,,SUV - SMALL
3,6,10.4,245,,SUV - SMALL
2,4,9.6,223,,SUV - SMALL
3,6,10.4,245,,SUV - SMALL
3,6,10.5,245,,SUV - STANDARD
4.4,8,13.4,314,,SUV - STANDARD
3,6,11.6,272,,SUV - STANDARD
4.4,8,12.6,294,,SUV - STANDARD
4.4,8,14.6,341,,SUV - STANDARD
3,6,10.8,254,,SUV - STANDARD
4.4,8,12.6,294,,SUV - STANDARD
8,16,22.2,522,,TWO-SEATER
3.6,6,11.2,263,,SUV - STANDARD
3.6,6,11.9,278,,SUV - STANDARD
1.4,4,8.7,204,,SUV - SMALL
1.4,4,8.3,194,,SUV - SMALL
1.4,4,9.1,214,,SUV - SMALL
1.4,4,8.8,205,,SUV - SMALL
2,4,10.7,249,,SUV - SMALL
2.5,4,10,234,,SUV - SMALL
3.6,6,9.9,233,,MID-SIZE
2.5,4,8.2,192,,MID-SIZE
3.6,6,10.1,238,,MID-SIZE
2,4,9.1,214,,MID-SIZE
2,4,9.6,227,,MID-SIZE
3.6,6,10.7,251,,MID-SIZE
3,6,11.3,267,,FULL-SIZE
3.6,6,11.1,261,,FULL-SIZE
4.2,8,13.8,324,,FULL-SIZE
2,4,9.5,222,,MID-SIZE
3.6,6,10.5,246,,MID-SIZE
2,4,9.9,232,,MID-SIZE
3.6,6,11.5,269,,MID-SIZE
3.6,6,12.7,298,,MID-SIZE
6.2,8,14.3,337,,MID-SIZE
6.2,8,14,328,,SUV - STANDARD
2,4,8.9,209,,SUV - SMALL
2,4,9.7,227,,SUV - SMALL
3.6,6,10.6,250,,SUV - SMALL
3.6,6,11.2,263,,SUV - SMALL
3.6,6,11,259,,FULL-SIZE
3.6,6,11.6,272,,FULL-SIZE
3.6,6,12.8,302,,FULL-SIZE
2.5,4,9.9,232,,SUV - SMALL
3.6,6,10.6,250,,SUV - SMALL
3.6,6,11.3,265,,SUV - SMALL
2,4,9.4,220,,SUBCOMPACT
2,4,10.1,235,,SUBCOMPACT
3.6,6,10.4,246,,SUBCOMPACT
3.6,6,11.8,277,,SUBCOMPACT
6.2,8,12,279,,SUBCOMPACT
6.2,8,12.6,297,,SUBCOMPACT
6.2,8,15.1,355,,SUBCOMPACT
6.2,8,14.9,349,,SUBCOMPACT
2.5,4,10.8,253,,PICKUP TRUCK - SMALL
2.5,4,10.7,251,,PICKUP TRUCK - SMALL
2.8,4,10.1,270,,PICKUP TRUCK - SMALL
3.6,6,11.7,274,,PICKUP TRUCK - SMALL
2.5,4,11.4,267,,PICKUP TRUCK - SMALL
2.8,4,10.5,283,,PICKUP TRUCK - SMALL
3.6,6,12.2,286,,PICKUP TRUCK - SMALL
2.8,4,12.1,326,,PICKUP TRUCK - SMALL
3.6,6,14.1,331,,PICKUP TRUCK - SMALL
6.2,8,12.7,299,,TWO-SEATER
6.2,8,12.2,286,,TWO-SEATER
6.2,8,14,331,,TWO-SEATER
6.2,8,13.5,318,,TWO-SEATER
6.2,8,16.1,381,,TWO-SEATER
6.2,8,15.6,368,,TWO-SEATER
1.4,4,7.3,172,,COMPACT
1.4,4,7.3,172,,COMPACT
1.6,4,6.4,172,,COMPACT
1.4,4,7.3,172,,MID-SIZE
1.4,4,7.5,175,,MID-SIZE
1.6,4,6.6,178,,MID-SIZE
1.5,4,8.3,196,,SUV - SMALL
1.6,4,7.4,199,,SUV - SMALL
1.5,4,8.6,207,,SUV - SMALL
1.6,4,7.4,199,,SUV - SMALL
2,4,9.7,228,,SUV - SMALL
2.5,4,9.6,225,,FULL-SIZE
3.6,6,10.8,254,,FULL-SIZE
3.6,6,14.6,245,,FULL-SIZE
1.5,4,7.5,174,,MID-SIZE
2,4,9.1,214,,MID-SIZE
1.8,4,5.1,121,,MID-SIZE
2.7,4,11.1,261,,PICKUP TRUCK - STANDARD
4.3,6,13.5,316,,PICKUP TRUCK - STANDARD
5.3,8,13.9,326,,PICKUP TRUCK - STANDARD
5.3,8,14,329,,PICKUP TRUCK - STANDARD
5.3,8,18.4,306,,PICKUP TRUCK - STANDARD
5.3,8,12.4,290,,PICKUP TRUCK - STANDARD
2.7,4,11.7,275,,PICKUP TRUCK - STANDARD
4.3,6,14,329,,PICKUP TRUCK - STANDARD
4.3,6,14.8,347,,PICKUP TRUCK - STANDARD
5.3,8,14,329,,PICKUP TRUCK - STANDARD
5.3,8,14.4,339,,PICKUP TRUCK - STANDARD
5.3,8,19.3,322,,PICKUP TRUCK - STANDARD
5.3,8,14.9,350,,PICKUP TRUCK - STANDARD
5.3,8,13.1,306,,PICKUP TRUCK - STANDARD
5.3,8,13.7,320,,PICKUP TRUCK - STANDARD
6.2,8,13.7,321,,PICKUP TRUCK - STANDARD
5.3,8,13.5,317,,PICKUP TRUCK - STANDARD
5.3,8,13.8,325,,PICKUP TRUCK - STANDARD
1.4,4,7.1,167,,SUBCOMPACT
1.4,4,7.2,170,,SUBCOMPACT
5.3,8,13.4,314,,SUV - STANDARD
5.3,8,13.4,314,,SUV - STANDARD
5.3,8,17.9,298,,SUV - STANDARD
5.3,8,14.3,336,,SUV - STANDARD
5.3,8,14.3,336,,SUV - STANDARD
5.3,8,19,317,,SUV - STANDARD
6.2,8,14.5,340,,SUV - STANDARD
5.3,8,13.4,314,,SUV - STANDARD
5.3,8,13.4,314,,SUV - STANDARD
5.3,8,17.9,298,,SUV - STANDARD
5.3,8,13.7,321,,SUV - STANDARD
5.3,8,13.7,321,,SUV - STANDARD
5.3,8,18.4,305,,SUV - STANDARD
6.2,8,13.8,325,,SUV - STANDARD
3.6,6,11.1,261,,SUV - STANDARD
3.6,6,11.8,277,,SUV - STANDARD
1.4,4,8.4,196,,SUV - SMALL
1.4,4,8.3,194,,SUV - SMALL
1.4,4,9.1,214,,SUV - SMALL
3.6,6,10.3,242,,FULL-SIZE
3.6,6,10.3,242,,FULL-SIZE
3.6,6,14.2,234,,FULL-SIZE
5.7,8,12.3,289,,FULL-SIZE
3.6,6,11,258,,FULL-SIZE
3.6,6,11,258,,FULL-SIZE
3.6,6,15,248,,FULL-SIZE
3.6,6,10.9,259,,MINIVAN
3.6,6,10.6,249,,MINIVAN
3.6,6,10.3,242,,MID-SIZE
5.7,8,13.1,307,,MID-SIZE
6.4,8,13.9,325,,MID-SIZE
5.7,8,12.3,289,,MID-SIZE
6.4,8,13,304,,MID-SIZE
3.6,6,11,258,,MID-SIZE
6.2,8,14.5,339,,MID-SIZE
6.2,8,15.1,352,,MID-SIZE
6.2,8,14.5,339,,MID-SIZE
3.6,6,11.6,271,,FULL-SIZE
3.6,6,11.6,271,,FULL-SIZE
3.6,6,16.1,268,,FULL-SIZE
3.6,6,10.3,242,,FULL-SIZE
3.6,6,10.3,242,,FULL-SIZE
3.6,6,14.2,234,,FULL-SIZE
5.7,8,12.9,302,,FULL-SIZE
5.7,8,12.3,289,,FULL-SIZE
6.4,8,13,304,,FULL-SIZE
3.6,6,11,258,,FULL-SIZE
3.6,6,11,258,,FULL-SIZE
3.6,6,15,248,,FULL-SIZE
5.7,8,13.3,312,,FULL-SIZE
6.2,8,14.5,339,,FULL-SIZE
3.6,6,11.3,265,,SUV - STANDARD
5.7,8,14.1,331,,SUV - STANDARD
6.4,8,15.6,363,,SUV - STANDARD
3.6,6,11.8,276,,MINIVAN
3.6,6,16.7,274,,MINIVAN
2.4,4,11.1,261,,SUV - SMALL
3.6,6,12.1,284,,SUV - SMALL
3.6,6,16.4,274,,SUV - SMALL
3.6,6,12.4,292,,SUV - SMALL
1.4,4,8,187,,TWO-SEATER
1.4,4,7.9,185,,TWO-SEATER
1.4,4,8.7,203,,MINICOMPACT
1.4,4,7.9,186,,MINICOMPACT
1.4,4,9.4,221,,STATION WAGON - SMALL
1.3,4,9.1,213,,SUV - SMALL
1,3,8.4,196,,SUV - SMALL
2,4,9.3,218,,SUV - SMALL
2,4,9.6,224,,SUV - SMALL
2,4,10,233,,SUV - SMALL
2.7,6,11,259,,SUV - SMALL
1.5,4,9.1,214,,SUV - SMALL
2.5,4,9.6,226,,SUV - SMALL
2.5,4,13.1,218,,SUV - SMALL
1.5,4,9.9,232,,SUV - SMALL
2,4,10.2,239,,SUV - SMALL
3.5,6,12.5,293,,SUV - STANDARD
3.5,6,13.1,307,,SUV - STANDARD
2.3,4,11.4,267,,SUV - STANDARD
3.5,6,13.2,311,,SUV - STANDARD
3.5,6,12.7,299,,SUV - STANDARD
3.5,6,17.3,288,,SUV - STANDARD
2.7,6,10.6,249,,PICKUP TRUCK - STANDARD
2.7,6,11.1,260,,PICKUP TRUCK - STANDARD
2.7,6,11.1,260,,PICKUP TRUCK - STANDARD
3,6,9.5,256,,PICKUP TRUCK - STANDARD
3,6,9.7,260,,PICKUP TRUCK - STANDARD
3.3,6,10.9,256,,PICKUP TRUCK - STANDARD
3.3,6,14.9,247,,PICKUP TRUCK - STANDARD
3.3,6,11.2,263,,PICKUP TRUCK - STANDARD
3.3,6,14.9,247,,PICKUP TRUCK - STANDARD
3.5,6,12,281,,PICKUP TRUCK - STANDARD
3.5,6,12.4,291,,PICKUP TRUCK - STANDARD
3.5,6,12.7,298,,PICKUP TRUCK - STANDARD
5,8,12.2,287,,PICKUP TRUCK - STANDARD
5,8,17.4,290,,PICKUP TRUCK - STANDARD
5,8,13.1,308,,PICKUP TRUCK - STANDARD
5,8,17.5,290,,PICKUP TRUCK - STANDARD
5,8,13.9,326,,PICKUP TRUCK - STANDARD
5,8,17.5,291,,PICKUP TRUCK - STANDARD
2.7,6,11.4,268,,PICKUP TRUCK - STANDARD
2.7,6,11.8,277,,PICKUP TRUCK - STANDARD
2.7,6,11.8,277,,PICKUP TRUCK - STANDARD
3,6,10.7,287,,PICKUP TRUCK - STANDARD
3,6,10.7,287,,PICKUP TRUCK - STANDARD
3,6,9.9,266,,PICKUP TRUCK - STANDARD
3.3,6,11.6,273,,PICKUP TRUCK - STANDARD
3.3,6,15.8,263,,PICKUP TRUCK - STANDARD
3.3,6,12.4,291,,PICKUP TRUCK - STANDARD
3.3,6,15.8,263,,PICKUP TRUCK - STANDARD
3.5,6,12.5,295,,PICKUP TRUCK - STANDARD
3.5,6,12.9,303,,PICKUP TRUCK - STANDARD
3.5,6,13.1,308,,PICKUP TRUCK - STANDARD
3.5,6,12.6,296,,PICKUP TRUCK - STANDARD
5,8,13.3,312,,PICKUP TRUCK - STANDARD
5,8,18,300,,PICKUP TRUCK - STANDARD
5,8,13.9,326,,PICKUP TRUCK - STANDARD
5,8,18,300,,PICKUP TRUCK - STANDARD
5,8,14.8,347,,PICKUP TRUCK - STANDARD
5,8,19.5,323,,PICKUP TRUCK - STANDARD
3.5,6,14.3,336,,PICKUP TRUCK - STANDARD
3.5,6,12.7,298,,SUV - STANDARD
3.5,6,12.9,303,,SUV - STANDARD
3.5,6,13.7,322,,SUV - STANDARD
1.6,4,7.6,178,,SUBCOMPACT
1.6,4,7.9,184,,SUBCOMPACT
1.6,4,8.4,196,,SUBCOMPACT
1.5,4,8.7,204,,MID-SIZE
2,4,5.6,131,,MID-SIZE
3.5,6,17.1,402,,TWO-SEATER
2.3,4,9.4,221,,SUBCOMPACT
2.3,4,10.3,242,,SUBCOMPACT
2.3,4,9.7,227,,SUBCOMPACT
2.3,4,10.4,244,,SUBCOMPACT
5,8,12.3,289,,SUBCOMPACT
5,8,13.3,311,,SUBCOMPACT
5,8,13.3,311,,SUBCOMPACT
2.3,4,10.4,243,,SUBCOMPACT
2.3,4,10.3,241,,SUBCOMPACT
5,8,12.9,302,,SUBCOMPACT
2.3,4,10.9,256,,PICKUP TRUCK - STANDARD
5.2,8,14.6,341,,SUBCOMPACT
3.5,6,14.7,346,,VAN - PASSENGER
3.7,6,15.2,355,,VAN - PASSENGER
3.5,6,11.5,270,,FULL-SIZE
3.5,6,15.2,254,,FULL-SIZE
3.5,6,12.5,294,,FULL-SIZE
3.5,6,12.4,291,,FULL-SIZE
3.5,6,16,267,,FULL-SIZE
2,4,9.3,219,,SPECIAL PURPOSE VEHICLE
2,4,9.3,219,,SPECIAL PURPOSE VEHICLE
2,4,12.6,209,,SPECIAL PURPOSE VEHICLE
2.5,4,10.6,247,,SPECIAL PURPOSE VEHICLE
2,4,9.2,214,,SPECIAL PURPOSE VEHICLE
2,4,9.2,214,,SPECIAL PURPOSE VEHICLE
2,4,12.5,208,,SPECIAL PURPOSE VEHICLE
2.5,4,10.7,251,,SPECIAL PURPOSE VEHICLE
2,4,10.9,255,,COMPACT
2,4,10.3,241,,COMPACT
3.3,6,11.6,274,,COMPACT
3.3,6,11.9,282,,FULL-SIZE
3.8,6,11.7,276,,FULL-SIZE
5,8,13.2,312,,FULL-SIZE
3.3,6,11.9,279,,FULL-SIZE
5,8,13,306,,FULL-SIZE
2.5,4,10.2,237,,SUV - STANDARD
3.6,6,11.4,268,,SUV - STANDARD
2.5,4,10.5,248,,SUV - STANDARD
3.6,6,11.7,275,,SUV - STANDARD
2.5,4,10.8,253,,PICKUP TRUCK - SMALL
2.5,4,10.7,251,,PICKUP TRUCK - SMALL
2.8,4,10.1,270,,PICKUP TRUCK - SMALL
3.6,6,11.7,274,,PICKUP TRUCK - SMALL
2.5,4,11.4,267,,PICKUP TRUCK - SMALL
2.8,4,10.5,283,,PICKUP TRUCK - SMALL
3.6,6,12.2,286,,PICKUP TRUCK - SMALL
2.7,4,11.1,261,,PICKUP TRUCK - STANDARD
4.3,6,13.5,317,,PICKUP TRUCK - STANDARD
5.3,8,13.9,326,,PICKUP TRUCK - STANDARD
5.3,8,14,329,,PICKUP TRUCK - STANDARD
5.3,8,18.4,306,,PICKUP TRUCK - STANDARD
5.3,8,12.5,294,,PICKUP TRUCK - STANDARD
2.7,4,11.8,277,,PICKUP TRUCK - STANDARD
4.3,6,14,329,,PICKUP TRUCK - STANDARD
5.3,8,14,330,,PICKUP TRUCK - STANDARD
5.3,8,14.4,339,,PICKUP TRUCK - STANDARD
5.3,8,19.4,323,,PICKUP TRUCK - STANDARD
5.3,8,13.5,316,,PICKUP TRUCK - STANDARD
5.3,8,13.7,320,,PICKUP TRUCK - STANDARD
6.2,8,13.9,326,,PICKUP TRUCK - STANDARD
6.2,8,14.2,332,,PICKUP TRUCK - STANDARD
5.3,8,13.5,317,,PICKUP TRUCK - STANDARD
5.3,8,13.8,325,,PICKUP TRUCK - STANDARD
1.5,4,8.6,201,,SUV - SMALL
1.6,4,7.4,199,,SUV - SMALL
1.5,4,9,210,,SUV - SMALL
1.6,4,7.4,199,,SUV - SMALL
2,4,10.2,239,,SUV - SMALL
5.3,8,13.4,314,,SUV - STANDARD
5.3,8,13.4,314,,SUV - STANDARD
5.3,8,17.9,298,,SUV - STANDARD
5.3,8,13.7,321,,SUV - STANDARD
5.3,8,13.7,321,,SUV - STANDARD
5.3,8,18.4,305,,SUV - STANDARD
6.2,8,13.8,325,,SUV - STANDARD
5.3,8,13.4,314,,SUV - STANDARD
5.3,8,13.4,314,,SUV - STANDARD
5.3,8,17.9,298,,SUV - STANDARD
5.3,8,14.3,336,,SUV - STANDARD
5.3,8,14.3,336,,SUV - STANDARD
5.3,8,19,317,,SUV - STANDARD
6.2,8,14.5,340,,SUV - STANDARD
1.5,4,7.2,168,,FULL-SIZE
1.5,4,7.6,177,,FULL-SIZE
1.5,4,7.9,185,,FULL-SIZE
2,4,9.2,214,,FULL-SIZE
2,4,9.1,211,,MID-SIZE
2,4,5,117,,FULL-SIZE
1.5,4,7.2,167,,COMPACT
2,4,7.1,164,,COMPACT
2,4,7.5,176,,COMPACT
2,4,8.1,189,,COMPACT
1.5,4,7.4,173,,COMPACT
1.5,4,6.9,162,,FULL-SIZE
1.5,4,7.3,170,,FULL-SIZE
1.5,4,7.2,167,,FULL-SIZE
1.5,4,7.3,170,,FULL-SIZE
1.5,4,7.2,167,,FULL-SIZE
1.5,4,7.1,165,,MID-SIZE
2,4,7.1,167,,MID-SIZE
2,4,8,186,,MID-SIZE
1.5,4,7.4,173,,MID-SIZE
2,4,9.6,224,,FULL-SIZE
1.5,4,7.8,181,,SUV - SMALL
1.5,4,8,188,,SUV - SMALL
1.5,4,6.5,151,,STATION WAGON - SMALL
1.5,4,7,166,,STATION WAGON - SMALL
1.5,4,7.4,174,,STATION WAGON - SMALL
1.8,4,7.8,181,,STATION WAGON - SMALL
1.8,4,8.2,193,,STATION WAGON - SMALL
1.8,4,8.5,199,,STATION WAGON - SMALL
1.5,4,4.9,114,,MID-SIZE
1.5,4,4.9,114,,MID-SIZE
3.5,6,10.7,252,,MINIVAN
3.5,6,10.6,247,,MINIVAN
3.5,6,11.3,265,,SUV - SMALL
3.5,6,10.7,250,,SUV - SMALL
3.5,6,11.3,266,,SUV - SMALL
3.5,6,11,257,,SUV - SMALL
3.5,6,11.3,263,,PICKUP TRUCK - STANDARD
1.6,4,7.3,172,,COMPACT
1.6,4,7.3,173,,COMPACT
1.6,4,8.1,189,,MID-SIZE
1.6,4,9.4,221,,MID-SIZE
2,4,7.4,174,,MID-SIZE
2,4,8,188,,MID-SIZE
1.6,4,8.6,205,,FULL-SIZE
1.6,4,9.2,218,,FULL-SIZE
2,4,8.4,200,,FULL-SIZE
2,4,8.7,207,,FULL-SIZE
1.6,4,4.3,104,,FULL-SIZE
1.6,4,4.1,96,,FULL-SIZE
2,4,7.9,186,,SUV - SMALL
1.6,4,8.6,201,,SUV - SMALL
2,4,8.6,202,,SUV - SMALL
2.4,4,9.6,225,,SUV - SMALL
2,4,11.2,262,,SUV - SMALL
2.4,4,10.1,237,,SUV - SMALL
3.3,6,11.5,268,,SUV - SMALL
3.3,6,11.7,276,,SUV - SMALL
3.3,6,12.6,297,,SUV - SMALL
2,4,9.1,212,,FULL-SIZE
2.4,4,8.3,198,,FULL-SIZE
2.4,4,8.1,190,,FULL-SIZE
2,4,5.7,135,,MID-SIZE
2,4,5.6,132,,MID-SIZE
2,4,9.1,216,,SUV - SMALL
2,4,10.1,239,,SUV - SMALL
2.4,4,10.1,240,,SUV - SMALL
2,4,8.2,193,,COMPACT
2,4,8.4,198,,COMPACT
2,4,9.5,226,,COMPACT
1.6,4,7.8,184,,COMPACT
1.6,4,8.3,197,,COMPACT
2,4,9.7,229,,MID-SIZE
3,6,10.8,253,,MID-SIZE
3,6,11.1,261,,MID-SIZE
2,4,10,233,,SUBCOMPACT
3,6,10.7,251,,SUBCOMPACT
3,6,11,259,,SUBCOMPACT
3.7,6,11.7,275,,MID-SIZE
5.6,8,12.8,301,,MID-SIZE
2,4,9,211,,SUV - SMALL
3.5,6,10.9,257,,SUV - SMALL
5.6,8,15.1,354,,SUV - STANDARD
2,4,9.8,231,,SUV - SMALL
2,4,8.1,218,,SUV - SMALL
2,4,9.9,227,,SUV - SMALL
3,6,11.8,277,,SUV - SMALL
2,4,9.2,215,,TWO-SEATER
3,6,10.4,242,,TWO-SEATER
3,6,12.6,296,,TWO-SEATER
3,6,10.8,253,,TWO-SEATER
3,6,12.9,302,,TWO-SEATER
3,6,11.3,265,,TWO-SEATER
2,4,9.2,215,,TWO-SEATER
3,6,10.4,242,,TWO-SEATER
3,6,12.6,296,,TWO-SEATER
3,6,10.8,253,,TWO-SEATER
3,6,12.9,302,,TWO-SEATER
3,6,11.3,265,,TWO-SEATER
5,8,13.3,311,,TWO-SEATER
5,8,13.3,311,,TWO-SEATER
2,4,6.9,186,,COMPACT
2,4,8.5,200,,COMPACT
3,6,10.2,238,,COMPACT
2,4,6.9,186,,MID-SIZE
2,4,8.8,207,,MID-SIZE
3,6,10.4,243,,MID-SIZE
3,6,11.8,276,,FULL-SIZE
3,6,11.9,280,,FULL-SIZE
5,8,13.3,313,,FULL-SIZE
2,4,9.1,214,,SUV - SMALL
2.4,4,9.3,219,,SUV - SMALL
3.2,6,10.2,240,,SUV - SMALL
2,4,9.8,229,,SUV - SMALL
2.4,4,9.8,230,,SUV - SMALL
3.2,6,10.6,249,,SUV - SMALL
2,4,10.2,240,,SUV - SMALL
3.2,6,11.1,259,,SUV - SMALL
2,4,10.6,249,,SUV - SMALL
3.2,6,11.6,269,,SUV - SMALL
2.4,4,9.3,218,,SUV - SMALL
2.4,4,9,211,,SUV - SMALL
2.4,4,9.5,222,,SUV - SMALL
2.4,4,9.4,221,,SUV - SMALL
3.6,6,11.3,265,,SUV - STANDARD
5.7,8,14.1,331,,SUV - STANDARD
3,6,10,268,,SUV - STANDARD
6.4,8,15.7,368,,SUV - STANDARD
6.2,8,17.7,413,,SUV - STANDARD
1.3,4,8.7,204,,SUV - SMALL
2.4,4,9.5,222,,SUV - SMALL
1.3,4,9.2,216,,SUV - SMALL
2.4,4,9.8,230,,SUV - SMALL
1.3,4,9.9,230,,SUV - SMALL
2,4,10,233,,SUV - SMALL
3.6,6,11.8,274,,SUV - SMALL
3.6,6,11.8,277,,SUV - SMALL
2,4,10.5,245,,SUV - SMALL
3.6,6,11.7,275,,SUV - SMALL
3.6,6,12.2,285,,SUV - SMALL
3.3,6,10.2,238,,FULL-SIZE
2,4,6.9,164,,MID-SIZE
2,4,7.6,180,,MID-SIZE
1.6,4,4.8,114,,STATION WAGON - SMALL
1.6,4,4.7,110,,STATION WAGON - SMALL
1.6,4,5.4,129,,STATION WAGON - SMALL
2,4,9.7,230,,FULL-SIZE
2.4,4,8.4,199,,FULL-SIZE
2,4,5.7,133,,MID-SIZE
1.6,4,7.5,177,,COMPACT
1.6,4,7.5,175,,COMPACT
3.3,6,11.5,272,,MINIVAN
2.4,4,9.6,225,,SUV - SMALL
2.4,4,10.2,242,,SUV - SMALL
3.3,6,11.2,265,,SUV - SMALL
1.6,4,8.5,199,,STATION WAGON - SMALL
1.6,4,8.4,198,,STATION WAGON - SMALL
2,4,8.7,206,,STATION WAGON - SMALL
2.4,4,9.2,218,,SUV - SMALL
2,4,11.1,263,,SUV - SMALL
2.4,4,10.5,247,,SUV - SMALL
2,4,9.7,229,,MID-SIZE
3.3,6,11.8,279,,MID-SIZE
6.5,12,21.5,487,,TWO-SEATER
6.5,12,21.7,493,,TWO-SEATER
5.2,10,15.9,366,,TWO-SEATER
5.2,10,15.7,370,,TWO-SEATER
5.2,10,15.9,366,,TWO-SEATER
5.2,10,15.7,370,,TWO-SEATER
5.2,10,15.7,370,,TWO-SEATER
5.2,10,15.7,370,,TWO-SEATER
4,8,16.9,384,,SUV - STANDARD
3,6,13.3,311,,SUV - STANDARD
3,6,10.4,279,,SUV - STANDARD
2,4,10.5,246,,SUV - SMALL
3,6,12.4,291,,SUV - STANDARD
3,6,9.6,256,,SUV - STANDARD
5,8,13,305,,SUV - STANDARD
5,8,15.5,365,,SUV - STANDARD
3,6,12.4,291,,SUV - STANDARD
3,6,9.6,256,,SUV - STANDARD
5,8,12.6,294,,SUV - STANDARD
2,4,9.6,225,,SUV - SMALL
2,4,9.8,231,,SUV - SMALL
2,4,8.5,229,,SUV - SMALL
2,4,10.6,248,,SUV - SMALL
3,6,11.6,273,,SUV - SMALL
2.5,4,5.3,124,,MID-SIZE
3.5,6,9.1,211,,MID-SIZE
3.5,6,9.4,219,,MID-SIZE
3.5,6,10.9,254,,MID-SIZE
5,8,12.5,293,,COMPACT
4.6,8,14.6,341,,SUV - STANDARD
2,4,9.5,220,,COMPACT
3.5,6,10.9,254,,COMPACT
3.5,6,10.9,254,,COMPACT
5,8,12.6,294,,SUBCOMPACT
3.5,6,8.1,189,,SUBCOMPACT
3.4,6,11.1,261,,MID-SIZE
3.5,6,9.1,214,,MID-SIZE
5.7,8,15.8,371,,SUV - STANDARD
2,4,9.7,226,,SUV - SMALL
2,4,9.9,232,,SUV - SMALL
2.5,4,7.5,176,,SUV - SMALL
3.5,6,11.2,262,,SUBCOMPACT
3.5,6,11.2,262,,SUBCOMPACT
5,8,12.6,289,,SUBCOMPACT
3.5,6,10.8,252,,SUV - SMALL
3.5,6,11.1,268,,SUV - SMALL
3.5,6,7.9,185,,SUV - STANDARD
3.5,6,8.1,190,,SUV - STANDARD
2,4,7.2,168,,MID-SIZE
2,4,5.6,130,,COMPACT
2,4,6,140,,COMPACT
2.7,6,12,281,,FULL-SIZE
3,6,12.3,289,,FULL-SIZE
3.7,6,12.2,287,,FULL-SIZE
2,4,11,257,,SUV - SMALL
2,4,10.9,256,,SUV - SMALL
2.3,4,11.5,270,,SUV - SMALL
3.5,6,13.7,322,,SUV - STANDARD
3.7,6,12.7,297,,SPECIAL PURPOSE VEHICLE
2,4,10.4,245,,MID-SIZE
3,6,11.8,278,,MID-SIZE
2,4,5.9,139,,MID-SIZE
2,4,10.7,250,,SUV - SMALL
2.7,6,11,259,,SUV - SMALL
3.5,6,13.4,314,,SUV - STANDARD
3,6,12.2,286,,MID-SIZE
3,6,12.6,295,,MID-SIZE
3,6,12.6,295,,MID-SIZE
4.7,8,15,354,,SUBCOMPACT
3,6,13.7,324,,SUV - STANDARD
3,6,14,330,,SUV - STANDARD
3.8,8,15.3,360,,SUV - STANDARD
3.8,8,15.3,360,,SUV - STANDARD
3,6,12.8,299,,FULL-SIZE
3,6,12.8,301,,FULL-SIZE
3.8,8,13.7,321,,FULL-SIZE
2,4,7.7,179,,COMPACT
2,4,8,186,,COMPACT
2,4,8.1,189,,COMPACT
2,4,8.8,206,,SUV - SMALL
2.5,4,8.8,206,,SUV - SMALL
2.5,4,8.5,201,,SUV - SMALL
2.5,4,9.3,217,,SUV - SMALL
2.5,4,9,208,,SUV - SMALL
2.5,4,9.8,230,,SUV - SMALL
2.2,4,8.4,227,,SUV - SMALL
2.5,4,9.6,225,,SUV - SMALL
2.5,4,10.5,244,,SUV - SMALL
2,4,7.6,178,,COMPACT
2,4,7.7,180,,COMPACT
2.5,4,7.7,181,,COMPACT
2.5,4,7.8,183,,COMPACT
2.5,4,8.2,192,,COMPACT
2,4,7.7,181,,MID-SIZE
2,4,7.8,181,,MID-SIZE
2.5,4,8,187,,MID-SIZE
2.5,4,8.1,189,,MID-SIZE
2.5,4,8.7,204,,MID-SIZE
2.5,4,8,187,,MID-SIZE
2.5,4,8.9,208,,MID-SIZE
2,4,7.9,186,,TWO-SEATER
2,4,8.1,189,,TWO-SEATER
2,4,8.4,195,,SUBCOMPACT
2,4,8.5,199,,SUBCOMPACT
2,4,8.3,192,,STATION WAGON - SMALL
2,4,8.6,201,,STATION WAGON - SMALL
3,6,10.7,253,,COMPACT
3,6,11.2,263,,SUBCOMPACT
3,6,11.1,255,,SUBCOMPACT
3,6,10.8,255,,STATION WAGON - SMALL
4,8,11.2,263,,COMPACT
4,8,11.2,263,,COMPACT
4,8,12,282,,SUBCOMPACT
4,8,11.8,277,,SUBCOMPACT
2,4,9.2,217,,MINICOMPACT
3,6,10.7,235,,COMPACT
3,6,9.9,232,,MID-SIZE
3,6,10.9,245,,SUBCOMPACT
3,6,10.6,237,,SUBCOMPACT
3,6,10.2,239,,STATION WAGON - MID-SIZE
4,8,13.5,318,,MID-SIZE
4,8,12.7,299,,STATION WAGON - MID-SIZE
4,8,17,396,,SUV - STANDARD
2,4,9.6,225,,STATION WAGON - MID-SIZE
3,6,11.2,262,,SUV - SMALL
3,6,11.3,265,,SUV - SMALL
4,8,13.2,309,,SUV - SMALL
4,8,13.2,309,,SUV - SMALL
3,6,12.4,292,,SUV - STANDARD
3,6,12.6,297,,SUV - STANDARD
4.7,8,15.8,370,,SUV - STANDARD
4.7,8,15.2,357,,SUV - STANDARD
4.7,8,15.7,370,,SUV - STANDARD
3,6,11.2,264,,COMPACT
4,8,13.7,323,,COMPACT
4,8,13.7,324,,COMPACT
4,8,13.5,315,,TWO-SEATER
